title,doi,url,authors,keywords
Données archéométriques de l’agrafe TRIB01S (tribunes),doi:10.57745/JQ0M6J,https://doi.org/10.57745/JQ0M6J,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFS03 (extérieur de la tour sud),doi:10.57745/0DYDV9,https://doi.org/10.57745/0DYDV9,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS174 (murs gouttereaux),doi:10.57745/EZPZDR,https://doi.org/10.57745/EZPZDR,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS_hc_2 (murs gouttereaux),doi:10.57745/JLCOMT,https://doi.org/10.57745/JLCOMT,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe AGT03 (terrasses basses),doi:10.57745/UVHPPW,https://doi.org/10.57745/UVHPPW,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS_hc_3 (murs gouttereaux),doi:10.57745/PDDHU0,https://doi.org/10.57745/PDDHU0,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE25 (murs gouttereaux),doi:10.57745/PIUXHO,https://doi.org/10.57745/PIUXHO,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE23 (murs gouttereaux),doi:10.57745/BOWIOV,https://doi.org/10.57745/BOWIOV,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN_hc_2 (murs gouttereaux),doi:10.57745/8O6NCK,https://doi.org/10.57745/8O6NCK,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe AGT01 (terrasses basses),doi:10.57745/UISFY4,https://doi.org/10.57745/UISFY4,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 238J19 (fenêtres hautes),doi:10.57745/LWTSOR,https://doi.org/10.57745/LWTSOR,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN53 (murs gouttereaux),doi:10.57745/ZILTFD,https://doi.org/10.57745/ZILTFD,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 208J19 (fenêtres hautes),doi:10.57745/BJVCIQ,https://doi.org/10.57745/BJVCIQ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 208J20 (fenêtres hautes),doi:10.57745/WYQWDB,https://doi.org/10.57745/WYQWDB,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TNW_hc_1 (murs gouttereaux),doi:10.57745/JTLS8W,https://doi.org/10.57745/JTLS8W,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Synthèse des données analytiques et de la documentation photographique des armatures en fer,doi:10.57745/TQO8WW,https://doi.org/10.57745/TQO8WW,Mathilde Bernard,Paris (France) -- Cathédrale Notre-Dame; Architecture gothique; Archéologie médiévale; Architecture gothique; Sidérurgie; Métallurgie préhistorique; Archéométrie; Métal
Données archéométriques du goujon PE11W (piles du chœur),doi:10.57745/QEFREW,https://doi.org/10.57745/QEFREW,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques du goujon R03 (piles du chœur),doi:10.57745/KX165P,https://doi.org/10.57745/KX165P,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques du goujon PE03W (piles du chœur),doi:10.57745/KF8NKP,https://doi.org/10.57745/KF8NKP,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
