title,doi,url,keywords
Données archéométriques de l’agrafe CHS23 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/M81REP,https://doi.org/10.57745/M81REP,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN63 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/LZ6EX7,https://doi.org/10.57745/LZ6EX7,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN_hc_1 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/PE7TP2,https://doi.org/10.57745/PE7TP2,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN63b (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/GGANP7,https://doi.org/10.57745/GGANP7,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS08 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/D77T6M,https://doi.org/10.57745/D77T6M,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TNW34 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/JYSDXI,https://doi.org/10.57745/JYSDXI,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS106 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/JWAOVB,https://doi.org/10.57745/JWAOVB,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSW14 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/NH2SB8,https://doi.org/10.57745/NH2SB8,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSW19 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/JNZZML,https://doi.org/10.57745/JNZZML,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE28 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/HJKPP9,https://doi.org/10.57745/HJKPP9,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques du goujon PE15N (piles du chœur) de Notre-Dame de Paris,doi:10.57745/SHBBWQ,https://doi.org/10.57745/SHBBWQ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
